50000 1000
199 170 126
239 188 225
138 167 182
162 208 162
175 74 30
164 74 122
247 124 236
126 42 152
53 192 219
28 17 55
40 154 160
178 232 94
1 37 95
70 156 220
4 36 5
191 183 24
110 24 163
54 156 161
29 130 107
145 167 124
52 117 145
102 251 25
8 143 62
104 7 128
99 185 146
17 228 178
177 46 171
191 228 77
20 180 128
103 28 135
138 143 35
46 210 163
28 62 21
203 25 179
153 122 154
187 124 202
110 133 52
215 22 166
44 224 40
120 43 11
174 207 76
203 229 55
252 87 39
145 110 3
88 151 212
50 176 240
19 5 178
75 85 121
158 205 96
175 185 21
52 155 149
221 90 30
53 111 84
150 121 214
34 14 151
192 154 226
82 29 83
238 236 117
221 101 159
242 160 225
238 140 2
125 43 137
232 84 233
66 8 160
28 81 68
119 40 229
8 150 147
94 121 232
150 58 108
46 95 174
241 233 221
38 240 178
151 173 173
190 238 129
228 92 128
77 202 127
6 13 147
144 215 190
170 213 96
210 40 179
227 59 30
163 21 139
43 195 201
230 96 101
179 152 218
142 196 240
181 69 8
18 3 45
137 211 31
124 237 151
17 51 6
50 197 185
78 221 32
4 208 140
55 48 80
90 61 107
7 21 118
109 152 223
236 128 139
237 124 160
230 88 246
47 13 125
93 82 7
199 47 207
69 101 205
14 162 162
242 166 147
6 229 34
136 170 189
120 151 235
197 185 105
48 135 54
156 11 12
227 157 36
139 70 154
15 48 98
50 27 143
248 35 206
136 45 59
218 88 81
231 29 218
159 17 138
23 102 205
169 24 62
172 195 59
166 113 146
128 242 221
172 88 110
84 182 246
171 251 129
194 38 142
158 131 241
179 131 86
52 179 11
210 140 151
97 139 7
109 161 19
139 83 120
201 12 19
71 224 237
102 24 182
233 249 177
2 144 101
131 44 187
32 13 11
211 95 246
161 65 84
191 4 178
8 213 106
90 242 15
86 218 183
174 50 252
13 217 66
66 9 192
150 5 185
71 160 134
54 55 91
254 66 87
182 200 134
66 151 109
250 20 1
73 131 227
125 17 161
52 17 131
162 10 196
161 69 236
54 211 109
136 13 10
92 135 222
172 134 32
50 59 118
33 197 15
64 127 212
9 136 122
218 29 157
202 29 217
37 129 232
100 178 138
132 158 224
63 209 35
212 95 246
32 240 235
162 8 193
237 102 47
67 52 169
208 73 180
4 59 24
51 185 92
87 169 51
86 240 189
153 4 232
203 198 60
172 6 116
128 144 53
73 219 147
202 159 5
134 93 93
83 62 208
247 4 128
93 105 209
127 107 220
246 128 80
190 204 119
25 86 14
72 67 159
23 1 237
238 34 11
230 53 108
230 129 229
104 121 231
73 169 64
242 7 182
142 17 99
231 29 243
176 223 138
118 252 68
20 22 73
9 34 38
43 33 1
138 248 123
105 99 86
147 193 167
117 246 97
99 175 119
130 46 183
94 144 56
19 9 151
2 159 91
193 94 207
195 45 64
186 33 228
246 19 50
21 242 132
35 53 98
130 88 57
123 58 93
36 92 145
216 20 227
75 205 72
141 104 189
218 140 16
198 157 222
102 56 126
96 39 205
121 152 54
13 211 223
5 26 246
226 12 241
198 95 108
59 110 77
86 76 209
185 136 6
254 54 92
51 13 254
198 220 57
71 69 128
35 209 46
45 183 186
110 217 32
44 130 198
224 120 166
1 190 123
27 178 74
254 81 116
232 115 58
253 211 126
190 150 143
71 14 9
163 174 153
150 101 48
23 132 4
152 51 210
213 113 146
11 156 123
243 70 188
218 146 45
253 12 141
4 183 35
172 72 130
125 177 168
68 253 190
116 157 224
20 52 139
248 57 39
80 218 70
196 28 124
13 224 25
124 175 199
109 49 247
251 74 243
63 3 140
240 172 219
136 170 142
119 59 83
101 42 130
226 248 191
77 166 246
5 31 24
150 236 186
108 237 245
89 47 90
219 150 38
97 198 148
107 221 232
29 49 98
51 184 61
24 202 167
91 204 242
7 214 199
160 67 24
95 204 36
84 30 3
31 26 213
140 240 73
80 192 106
2 67 98
133 148 127
101 87 41
94 203 94
193 215 232
4 76 143
38 18 224
159 68 180
215 18 152
217 154 142
70 172 243
160 242 94
57 117 91
102 229 181
51 152 94
111 4 93
132 26 5
80 67 153
240 213 173
56 69 185
211 160 84
35 26 138
173 185 116
241 79 142
250 95 94
119 220 135
31 36 63
209 121 250
160 233 157
159 137 174
173 61 67
18 67 237
14 31 191
205 53 159
133 33 116
85 11 155
101 228 166
223 130 174
245 109 234
179 56 166
98 216 50
175 181 222
167 162 4
224 75 114
112 103 144
211 66 182
186 73 227
26 145 37
230 19 227
247 40 232
53 160 176
179 223 120
202 216 235
190 228 119
206 49 80
175 9 115
86 86 93
69 131 74
30 138 244
0 83 204
32 4 173
246 242 229
164 35 221
209 170 84
18 135 51
155 38 2
184 244 144
140 167 213
47 121 115
21 216 6
54 21 24
85 65 183
98 9 77
83 124 177
201 190 195
159 134 68
198 239 118
242 108 151
163 246 88
48 0 58
181 226 100
210 117 168
9 4 18
196 44 172
2 50 155
115 0 164
163 79 213
29 18 97
49 91 226
97 72 20
56 0 135
193 26 230
155 250 22
69 214 99
42 135 243
160 105 61
202 34 176
232 231 162
23 96 210
251 28 93
250 108 22
245 105 153
103 57 157
235 184 126
242 174 24
189 233 214
149 170 129
186 35 210
67 159 137
46 122 111
